Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,5.8,1199.46,-,-,-,-,7.58,2210.17
2,Allahabad Bank App,0.02,6.28,-,-,-,-,0.02,6.28
3,Amazon Pay,63.49,6044.47,-,-,-,-,63.49,6044.47
4,AU Small Finance Bank App,0.25,89.36,-,-,-,-,0.25,89.36
5,Axis Bank Apps,6.9,1366.34,47.88,38.91,0,0,54.78,1405.26
6,Bajaj Finserv,0.33,19.32,-,-,-,-,0.33,19.32
7,Bank of Baroda Apps,0.67,330.69,-,-,0,0,0.67,330.69
8,Bank of India App,0.05,21.28,-,-,-,-,0.05,21.28
9,Bank of Maharashtra App,0.05,12.49,-,-,-,-,0.05,12.49
10,BHIM,23.25,7891.86,-,-,-,-,23.25,7891.86
11,Canara Bank App,0.26,95.78,-,-,-,-,0.26,95.78
12,Central Bank of India App,0.12,45.26,-,-,-,-,0.12,45.26
13,Citi Bank App,0.08,69.22,-,-,-,-,0.08,69.22
14,City Union Bank App,0.02,5.49,-,-,-,-,0.02,5.49
15,Cointab,1.73,280.57,-,-,-,-,1.73,280.57
16,Cred,10.08,13364.09,-,-,-,-,10.08,13364.09
17,DBS Digibank App,0.46,173.63,-,-,-,-,0.46,173.63
18,Dena Bank App,0.02,23.93,-,-,-,-,0.02,23.93
19,Deutsche Bank App,0.87,70.43,-,-,-,-,0.87,70.43
20,Dhanlaxmi Bank App,0.01,2.83,-,-,-,-,0.01,2.83
21,Federal Bank App,0.55,108.21,-,-,0,0,0.55,108.21
22,Fino Payments bank App,0.03,3.25,-,-,-,-,0.03,3.25
23,Finshell Pay,0.06,3.8,-,-,-,-,0.06,3.8
24,Google Pay,1524.09,291273.46,-,-,-,-,1524.09,291273.46
25,HDFC Bank Apps,4.59,1370.03,-,-,-,-,4.59,1370.03
26,HSBC Bank App,0.08,52.94,0,0.04,-,-,0.08,52.97
27,ICICI Bank Apps,27.39,8537.11,3.27,190.34,-,-,30.66,8727.44
28,IDBI Bank App,0.02,14.6,-,-,-,-,0.02,14.6
29,IDFC Bank App,1.21,321.93,-,-,0,0,1.21,321.93
30,India Post Payments Bank App,2.21,268.9,-,-,-,-,2.21,268.9
31,Indian Bank App,0.11,42.07,-,-,-,-,0.11,42.07
32,IndusInd Bank App,0.77,1358.24,-,-,-,-,0.77,1358.24
33,Jammu and Kashmir Bank App,0.01,3.43,-,-,-,-,0.01,3.43
34,Janta Sahakari Bank App,0.01,4.33,-,-,-,-,0.01,4.33
35,Jio Payments Bank App,1.97,111.85,-,-,-,-,1.97,111.85
36,Jupiter Money,1.13,140.79,-,-,-,-,1.13,140.79
37,Karnataka Bank App,0.25,31.35,-,-,-,-,0.25,31.35
38,Karur Vysya Bank App,0.04,17.17,-,-,-,-,0.04,17.17
39,Kotak Mahindra Bank Apps,6.91,1383.3,-,-,-,-,6.91,1383.3
40,MakeMy Trip,0.08,33.03,-,-,-,-,0.08,33.03
41,MI Pay,0.25,38.46,-,-,-,-,0.25,38.46
42,Mobikwik,3.78,755.89,-,-,-,-,3.78,755.89
43,NSDL Payments Bank App,0.02,1.77,-,-,-,-,0.02,1.77
44,Paytm Payments Bank App,613.77,72204.32,8.48,18.96,-,-,706.77,86299.22
45,PhonePe,2120.2,407640.11,-,-,-,-,2120.2,407640.11
46,Punjab National Bank App,0.08,43.49,-,-,-,-,0.08,43.49
47,Punjab Sindh Bank Apps,0.01,2.66,-,-,-,-,0.01,2.66
48,RBL Bank App,0.51,107.25,-,-,0,0,0.51,107.25
49,Samsung Pay,3.14,421.97,-,-,-,-,3.14,421.97
50,South Indian Bank App,0.12,38.69,-,-,-,-,0.12,38.69
51,Standard Chartered Bank App,0.12,64.7,-,-,-,-,0.12,64.7
52,State Bank of India Apps,3.38,1863.42,-,-,0,0,3.38,1863.42
53,UCO Bank App,0.16,35.05,-,-,-,-,0.16,35.05
54,Ultracash,1.51,158.7,-,-,-,-,1.51,158.7
55,Union Bank Apps,0.35,166.72,-,-,-,-,0.35,166.72
56,Utkarsh Small Finance Bank,0.01,2.42,-,-,-,-,0.01,2.42
57,WhatsApp,2.24,207.09,-,-,-,-,2.24,207.09
58,Yes Bank Apps,31.99,6551.55,0.19,0.06,-,-,32.17,6551.61
59,YuvaPay,0.05,89.7,-,-,-,-,0.05,89.7
60,Others,0.02,8.15,-,-,-,-,0.02,8.15
